Year,Semester,Link
2007,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1074/seating_availability.html?subject=ANTH
2007,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1076/seating_availability.html?subject=ANTH
2007,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1078/seating_availability.html?subject=ANTH
2008,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1084/seating_availability.html?subject=ANTH
2008,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1086/seating_availability.html?subject=ANTH
2008,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1088/seating_availability.html?subject=ANTH
2009,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1094/seating_availability.html?subject=ANTH
2009,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1096/seating_availability.html?subject=ANTH
2009,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1098/seating_availability.html?subject=ANTH
2010,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1104/seating_availability.html?subject=ANTH
2010,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1106/seating_availability.html?subject=ANTH
2010,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1108/seating_availability.html?subject=ANTH
2011,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1114/seating_availability.html?subject=ANTH
2011,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1116/seating_availability.html?subject=ANTH
2011,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1118/seating_availability.html?subject=ANTH
2012,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1124/seating_availability.html?subject=ANTH
2012,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1126/seating_availability.html?subject=ANTH
2012,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1128/seating_availability.html?subject=ANTH
2013,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1134/seating_availability.html?subject=ANTH
2013,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1136/seating_availability.html?subject=ANTH
2013,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1138/seating_availability.html?subject=ANTH
2014,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1144/seating_availability.html?subject=ANTH
2014,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1146/seating_availability.html?subject=ANTH
2014,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1148/seating_availability.html?subject=ANTH
2015,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1154/seating_availability.html?subject=ANTH
2015,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1156/seating_availability.html?subject=ANTH
2015,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1158/seating_availability.html?subject=ANTH
2016,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1164/seating_availability.html?subject=ANTH
2016,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1166/seating_availability.html?subject=ANTH
2016,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1168/seating_availability.html?subject=ANTH
2017,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1174/seating_availability.html?subject=ANTH
2017,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1176/seating_availability.html?subject=ANTH
2017,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1178/seating_availability.html?subject=ANTH
2018,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1184/seating_availability.html?subject=ANTH
2018,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1186/seating_availability.html?subject=ANTH
2018,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1188/seating_availability.html?subject=ANTH
2019,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1194/seating_availability.html?subject=ANTH
2019,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1196/seating_availability.html?subject=ANTH
2019,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1198/seating_availability.html?subject=ANTH
2020,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1204/seating_availability.html?subject=ANTH
2020,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1206/seating_availability.html?subject=ANTH
2020,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1208/seating_availability.html?subject=ANTH
2021,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1214/seating_availability.html?subject=ANTH
2021,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1216/seating_availability.html?subject=ANTH
2021,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1218/seating_availability.html?subject=ANTH
2022,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1224/seating_availability.html?subject=ANTH
2022,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1226/seating_availability.html?subject=ANTH
2022,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1228/seating_availability.html?subject=ANTH
